product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-06-02,7782,571.2541703930336,590.9,0.15063283299469782,0.0343120864848956
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-04-08,7632,467.3743131313132,454.54,0.03249528175442856,0.022782990048927764
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-04-01,7626,473.5388880503145,481.77,0.03186116111106686,0.02164576093084283
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2023-04-17,7038,1157.454392750879,1202.78,0.0022090453614613055,0.0011805220953677324
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-05-26,6418,565.8867438494934,581.77,0.14347058244470362,0.03545265294747119
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-06-09,6174,563.9212574006203,572.72,0.14855483934283015,0.03557236198609088
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2024-04-01,6102,1949.629657000312,1909.1,0.001932977676337249,0.0009506485860518591
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2023-04-17,6086,286.13785557299843,259.17,0.030199057066027206,0.020496865004799514
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2025-03-24,6070,2465.1239912962387,2636.36,0.0063112928342629595,0.003933262489744401
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-06-10,5952,528.6649469081824,499.95,0.04095303397618097,0.024281558659344057
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2024-04-08,5882,1994.3519698427974,2090.91,0.0021869046179198194,0.0009985642650420024
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-05-05,5582,618.7370137261466,636.32,0.11847669642755777,0.028184962235193026
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,0,2024-04-01,5368,2256.6606636553165,2226.36,0.00593592531137291,0.0027552743433157897
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2023-06-26,5150,323.82331093691676,305.51,0.04321538546489559,0.03549458903911393
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-05-19,5120,581.3395276988635,630.55,0.13512653031829275,0.034410850013814644
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-03-24,5110,755.9782482556004,726.36,0.012066623542805046,0.008065758233944438
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,0,2024-04-08,5040,2287.769562178072,2390.0,0.006309783469769188,0.0027437021331509306
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-04-29,4824,459.2384049079754,431.46500000000003,0.06545200893684362,0.02979073067535277
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,0,2023-04-17,4812,1332.0626081825335,1416.62,0.004605135809479183,0.0019633687966599178
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-05-12,4774,596.915173313455,635.45,0.1139062536384704,0.031187342635602865
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,0,2025-03-24,4534,2219.564237842256,2181.78,0.0122965672402346,0.007554216735517654
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,0,2024-04-01,4504,1843.3481951423787,1908.18,0.007587089701116154,0.004294483647412427
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,0,2023-04-17,4336,1060.8998262711864,1110.19,0.009154127381090577,0.005066016243472481
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2023-04-10,4328,1124.7441011235956,1202.78,0.0030284514976232964,0.0017216310599752636
1.0,1.0,2.0,Ayakkabı,Ayakkabı,Koşu Ayakkabısı,0,2024-04-08,4234,1890.112554517134,1908.18,0.006451773728753844,0.0037157288817606764
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2023-06-19,4216,324.5722039180765,290.275,0.044656375570768854,0.037181719932923525
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-05-06,4214,459.76797057550846,455.45,0.05821627530810556,0.027378152736996758
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-03-25,4148,449.5302570093458,395.41,0.04084273498065893,0.02783521022927185
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-06-16,3980,591.8730278526505,636.35,0.14529108974970734,0.034626677436163905
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-06-23,3958,598.3896251735308,636.35,0.14035552157596493,0.037103381354601256
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2025-06-02,3958,2386.798157028679,2453.64,0.008088942387340453,0.006223400028360578
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-06-03,3908,506.8504931506849,481.81,0.04678286990409333,0.024552310527111067
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,0,2023-11-20,3906,449.7751134717528,272.72,0.1080709119584254,0.08193315804021288
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2023-06-19,3858,1140.5531420373027,1111.11,0.007743401055411918,0.005609092907006485
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2025-03-31,3814,744.9719909502263,681.81,0.011655875178595333,0.0080039135913635
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,0,2023-11-13,3812,484.5428072763029,272.72,0.10324421235977825,0.06789264745642092
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,2,2024-11-25,3802,1479.1213089244852,1432.56,0.026394622605184926,0.026578157110700162
1.0,1.0,75.0,Ayakkabı,Ayakkabı,Sneaker,0,2023-06-26,3756,1131.4090120361084,1110.19,0.010417340103534574,0.006955046669759035
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-06-17,3706,529.0030727362691,518.17,0.05258498064711629,0.027035739139383463
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2023-06-12,3706,325.2152996532937,305.55,0.026900224744060508,0.020071041567119592
1.0,919.0,8.0,Ayakkabı,Bot & Çizme,Bot ve Çizme,2,2024-11-25,3700,1714.9329003306566,1107.7,0.023084098099329882,0.01826394095160991
1.0,1.0,76.0,Ayakkabı,Ayakkabı,Spor Ayakkabı,0,2025-03-24,3622,2827.8611626721063,2909.08,0.010226748032348545,0.005892318996254135
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-04-15,3548,484.0362446581197,481.81,0.029777471605230532,0.020579183542819752
2.0,21.0,26.0,Giyim,Tişört,Tişört,0,2024-05-27,3536,501.4232028836252,475.78499999999997,0.04834131913525084,0.02429332018545762
